Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74,Groin problems,28-Apr-19,28-Sep-19,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,draw,Watford,0,lose,Liverpool,-2,draw,Brighton,0,lose,Leicester,-5,5.9,win,Man United,1,6.7,lose,Chelsea,-1,6.2
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74,Hip injury,27-Nov-19,10-Dec-19,win,West Ham,1,5.6,win,Bournemouth,1,7.3,lose,Aston Villa,-2,5.6,draw,Man City,0,win,Sheffield,2,win,Southampton,1,N.A.,N.A.,N.A.,N.A.,lose,Man United,-3,5.7,lose,Everton,-1,5.9
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74,Hand injury,5-Jan-20,23-Jan-20,lose,Man United,-3,5.9,lose,Everton,-1,5.7,lose,Leicester,-3,5.7,draw,Wolves,0,win,Chelsea,1,draw,Everton,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Emil Krafth,Newcastle,Right Back,25,2019/20,75,Ankle injury,21-Jan-20,20-Jun-20,win,Chelsea,1,6.6,draw,Everton,0,5.7,N.A.,N.A.,N.A.,N.A.,draw,Norwich City,0,lose,Arsenal,-4,lose,Crystal Palace,-1,win,Bournemouth,3,6.2,draw,West Ham,0,6.3,N.A.,N.A.,N.A.,N.A.
Emil Krafth,Newcastle,Right Back,25,2019/20,75,Ankle injury,21-Jul-20,11-Sep-20,lose,Watford,-1,6(S),lose,Tottenham,-2,6.1,draw,Brighton,0,6.6,lose,Liverpool,-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Javier Manquillo,Newcastle,Right Back,26,2019/20,75,Hamstring strain,2-Jan-20,28-Feb-20,lose,Man United,-3,6.1,lose,Leicester,-3,5.2,N.A.,N.A.,N.A.,N.A.,draw,Wolves,0,win,Chelsea,1,draw,Everton,0,draw,Burnley,0,6.1,win,Southampton,1,6.4,win,Sheffield,3,6.8
Isaac Hayden,Newcastle,Defensive Midfielder,25,2019/20,78,Hamstring strain,5-Jul-20,25-Jul-20,draw,Aston Villa,0,6.3,win,Bournemouth,3,6.1,draw,West Ham,0,5.9,lose,Man City,-5,lose,Watford,-1,lose,Tottenham,-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,74,Ankle injury,1-Sep-19,28-Sep-19,lose,Norwich City,-2,6.5,win,Tottenham,1,6,draw,Watford,0,7.1,draw,Brighton,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Leicester,-5,5.9,win,Man United,1,7.3,lose,Chelsea,-1,6.2
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,74,Hamstring injury,1-Jul-20,25-Jul-20,win,Southampton,1,6(S),win,Bournemouth,3,7,N.A.,N.A.,N.A.,N.A.,draw,West Ham,0,lose,Man City,-5,lose,Watford,-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79,Hamstring injury,22-Sep-19,5-Oct-19,lose,Liverpool,-2,5.9,draw,Brighton,0,6.6,N.A.,N.A.,N.A.,N.A.,lose,Leicester,-5,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,draw,Wolves,0,7.3,win,West Ham,1,8,N.A.,N.A.,N.A.,N.A.
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79,Calf injury,9-Dec-19,20-Dec-19,draw,Man City,0,7.5,win,Sheffield,2,7.6,win,Southampton,1,7.4,lose,Burnley,-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Crystal Palace,1,6.6,lose,Everton,-1,6,lose,Leicester,-3,6
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79,Hamstring strain,18-Jan-20,28-Feb-20,lose,Leicester,-3,6,win,Chelsea,1,6.9,N.A.,N.A.,N.A.,N.A.,draw,Norwich City,0,lose,Arsenal,-4,lose,Crystal Palace,-1,draw,Burnley,0,6.4,win,Southampton,1,7.6,win,Sheffield,3,6.3
Matt Ritchie,Newcastle,Right Midfielder,30,2019/20,76,Ankle injury,28-Aug-19,3-Jan-20,lose,Arsenal,1,6,lose,Norwich City,-2,7,win,Tottenham,1,6.9,draw,Watford,0,lose,Liverpool,-2,draw,Brighton,0,win,Chelsea,1,6.4,draw,Everton,0,6,draw,Norwich City,0,7.4
Allan Saint-Maximin,Newcastle,Left winger,23,2019/20,79,Hamstring strain,22-Sep-19,28-Sep-19,lose,Arsenal,-1,6.5,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Norwich City,-2,draw,Watford,0,lose,Liverpool,-2,draw,Brighton,0,6.6,win,Man United,1,5.8,lose,Chelsea,-1,5.9
Miguel Almirón,Newcastle,Right winger,26,2019/20,76,Hamstring injury,9-Dec-19,20-Dec-19,draw,Man City,0,6.8,win,Sheffield,2,6.1,win,Southampton,1,6.2,lose,Burnley,-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Crystal Palace,1,8.6,lose,Man United,-3,5.9,lose,Everton,-1,5.7
Dwight Gayle,Newcastle,Center Forward,30,2019/20,75,Calf injury,8-Aug-19,5-Oct-19,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Arsenal,-1,lose,Norwich City,-2,win,Tottenham,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Dwight Gayle,Newcastle,Center Forward,30,2019/20,75,Hamstring strain,2-Jan-20,10-Jan-20,lose,Man United,-3,5.8,lose,Everton,-1,5.7,draw,Wolves,0,6.3,win,Chelsea,1,draw,Everton,0,draw,Norwich City,0,lose,Crystal Palace,-1,5.5,draw,Burnley,0,5.6,win,Southampton,1,5.9
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Groin injury,20-Oct-19,1-Nov-19,lose,Leicester,-5,6,win,Man United,1,5.7,lose,Chelsea,-1,5.7,draw,Wolves,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Aston Villa,-2,6.3
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Bruised ribs,26-Nov-19,3-Dec-19,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Aston Villa,-2,6.3,draw,Man City,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Sheffield,2,6.8,win,Southampton,1,6.7,lose,Burnley,-1,5.8
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Knock,15-Jan-20,15-Jun-20,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,draw,Wolves,0,5(S),win,Chelsea,1,draw,Everton,0,draw,Norwich City,0,win,Sheffield,3,5(S),draw,Aston Villa,0,6.4,win,Bournemouth,3,6.4
Andy Carroll,Newcastle,Center Forward,31,2019/20,74,Muscle injury,6-Jul-20,17-Jul-20,draw,Aston Villa,0,6.4,win,Bournemouth,3,6.4,N.A.,N.A.,N.A.,N.A.,lose,Man City,-5,lose,Watford,-1,lose,Tottenham,-2,draw,Brighton,0,5.7,lose,Liverpool,-2,5.1,N.A.,N.A.,N.A.,N.A.
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Hip injury,28-Sep-20,16-Oct-20,win,West Ham,2,6.6,lose,Brighton,-3,5.6,draw,Tottenham,0,6.3,win,Burnley,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Man United,3,5.3,draw,Wolves,0,6.4,win,Everton,1,6.4
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Muscle fatigue,22-Nov-20,17-Jan-21,win,Everton,1,6.4,lose,Southampton,-2,6.1,lose,Chelsea,-2,6.3,win,Crystal Palace,2,win,West Brom,1,lose,Leeds,-3,lose,Arsenal,-3,5.6,lose,Aston Villa,-2,5.6,lose,Leeds,-1,6.1
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Hamstring strain,31-Jan-21,14-Feb-21,lose,Aston Villa,-2,5.6,lose,Leeds,-1,6.1,win,Everton,2,6.2,lose,Crystal Palace,-1,win,Southampton,1,N.A.,N.A.,N.A.,lose,Chelsea,-2,7.1,lose,Man United,-2,5.3,draw,Wolves,0,7.6
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Foot injury,4-Apr-21,1-Jun-21,draw,Aston Villa,0,7.4,lose,Brighton,-3,5.8,draw,Tottenham,-3,5.9,win,Burnley,1,win,West Ham,1,draw,Liverpool,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Fabian Schär,Newcastle,Center Back,29,2020/21,79,Virus,29-Nov-20,25-Dec-20,lose,Southampton,-2,6.1,lose,Chelsea,-2,5.8,N.A.,N.A.,N.A.,N.A.,win,West Brom,1,lose,Leeds,-3,draw,Fulham,0,lose,Man City,-2,6.6,draw,Liverpool,0,7.6,lose,Leicester,-1,6.2
Fabian Schär,Newcastle,Center Back,29,2020/21,79,Knee injury,7-Feb-21,25-Apr-21,win,Everton,2,7,lose,Crystal Palace,-1,6.5,win,Southampton,1,5.4,lose,Chelsea,-2,lose,Man United,-2,draw,Wolves,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Ciaran Clark,Newcastle,Center Back,31,2020/21,76,Calf injury,19-Jan-21,29-Jan-21,lose,Leicester,-1,6.4,lose,Sheffield,-1,6.6,lose,Arsenal,-3,5.4,lose,Aston Villa,-2,lose,Leeds,-1,N.A.,N.A.,N.A.,win,Everton,2,6.2,lose,Crystal Palace,-1,6.5,N.A.,N.A.,N.A.,N.A.
Ciaran Clark,Newcastle,Center Back,31,2020/21,76,Knock,4-Feb-21,14-Feb-21,win,Everton,2,6.2,lose,Crystal Palace,-1,6.5,N.A.,N.A.,N.A.,N.A.,win,Southampton,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Chelsea,-2,6.1,lose,Man United,-2,6,draw,Wolves,0,6.3
Javier Manquillo,Newcastle,Right Back,27,2020/21,75,Ankle injury,7-Feb-21,10-Mar-21,win,Everton,2,6.5,lose,Crystal Palace,-1,6.2,win,Southampton,1,6.1,lose,Chelsea,-2,lose,Man United,-2,draw,Wolves,0,N.A.,N.A.,N.A.,N.A.,lose,Brighton,-3,6.2,N.A.,N.A.,N.A.,N.A.
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,78,Coronavirus,25-Nov-20,11-Dec-20,N.A.,N.A.,N.A.,N.A.,lose,Chelsea,-2,6.3,N.A.,N.A.,N.A.,N.A.,win,Crystal Palace,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,West Brom,1,6.9,lose,Leeds,-3,5.9,draw,Fulham,0,7.2
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,87,Knee injury,20-Mar-21,1-Jun-21,draw,West Brom,0,6.7,draw,Aston Villa,0,6.9,lose,Brighton,-3,6.2,draw,Tottenham,0,win,Burnley,2,win,West Ham,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Jonjo Shelvey,Newcastle,Central Midfielder,29,2020/21,78,Groin injury,19-Oct-20,20-Nov-20,draw,Tottenham,0,5.9,win,Burnley,2,7.1,lose,Man United,-3,6.7,draw,Wolves,0,win,Everton,1,lose,Southampton,-2,win,Crystal Palace,2,6.5,win,West Brom,1,6.6,draw,Fulham,0,6.7
Jonjo Shelvey,Newcastle,Central Midfielder,29,2020/21,78,Hamstring injury,4-Jan-21,17-Jan-21,lose,Leicester,-1,5.8,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Sheffield,-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Arsenal,-3,6.2,lose,Aston Villa,-2,6.2,lose,Leeds,-1,6.6
Matt Ritchie,Newcastle,Right Midfielder,31,2020/21,76,Shoulder injury,27-Sep-20,25-Nov-20,draw,Tottenham,0,6,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Burnley,2,lose,Man United,-3,draw,Wolves,1,win,Crystal Palace,2,6.6,win,West Brom,1,6.1,draw,Fulham,0,5
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79,Ankle injury,21-Sep-20,1-Oct-20,win,West Ham,2,6.7,lose,Brighton,-3,5.3,N.A.,N.A.,N.A.,N.A.,draw,Tottenham,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Burnley,2,8.3,lose,Man United,-3,7.3,draw,Wolves,0,6.5
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79,Calf injury,22-Nov-20,22-Jan-21,win,Everton,1,6.2,lose,Southampton,-2,6.1,lose,Chelsea,-2,5.9,win,Crystal Palace,2,win,West Brom,1,lose,Leeds,-3,lose,Aston Villa,-2,5.7,lose,Leeds,-1,6.1,win,Everton,2,5.4
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79,Groin injury,28-Feb-21,4-Apr-21,lose,Chelsea,-2,6.1,lose,Man United,-2,7.4,draw,Wolves,0,7,draw,West Brom,0,draw,Aston Villa,0,lose,Brighton,-3,draw,Tottenham,0,5.5,win,Burnley,1,7.8,win,West Ham,1,6.3
Miguel Almirón,Newcastle,Right winger,27,2020/21,76,Knee injury,28-Feb-21,15-Mar-21,lose,Chelsea,-2,6.1,lose,Man United,-2,5.7,draw,Wolves,0,6.2,draw,West Brom,0,draw,Aston Villa,0,N.A.,N.A.,N.A.,lose,Brighton,-3,5.6,draw,Tottenham,0,6.5,win,Burnley,1,6.3
Dwight Gayle,Newcastle,Center Forward,31,2020/21,75,Inner ligament injury,5-Sep-20,11-Dec-20,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,West Ham,2,lose,Brighton,-3,draw,Tottenham,0,win,West Brom,1,7.8,lose,Leeds,-3,6(S),draw,Fulham,0,6.5
Jamal Lewis,Newcastle,Left Back,23,2020/21,75,Knee problems,31-Dec-20,15-Jan-21,N.A.,N.A.,N.A.,N.A.,lose,Man City,-2,5.9,N.A.,N.A.,N.A.,N.A.,lose,Leicester,-1,lose,Sheffield,-1,N.A.,N.A.,N.A.,lose,Arsenal,-3,5.6,lose,Aston Villa,-2,5.1,lose,Leeds,-1,6.3
Ryan Fraser,Newcastle,Left winger,27,2020/21,77,Hamstring injury,2-Nov-20,15-Dec-20,lose,Man United,-3,5.1,draw,Wolves,0,5.7,win,Everton,1,5.7,lose,Southampton,-2,lose,Chelsea,-2,win,Crystal Palace,2,lose,Leeds,-3,7.1,draw,Fulham,0,6(S),N.A.,N.A.,N.A.,N.A.
Ryan Fraser,Newcastle,Left winger,27,2020/21,77,Groin injury,1-Apr-21,31-May-21,draw,West Brom,0,5.8,draw,Aston Villa,0,6.4,lose,Brighton,-3,6.1,draw,Tottenham,0,win,Burnley,1,win,West Ham,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Callum Wilson,Newcastle,Center Forward,29,2020/21,79,Hamstring strain,7-Nov-20,26-Nov-20,draw,Wolves,0,5.7,win,Everton,1,7.8,lose,Southampton,-2,5.2,lose,Chelsea,-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Crystal Palace,2,7.2,win,West Brom,1,5.7,lose,Leeds,-3,6.9
Callum Wilson,Newcastle,Center Forward,29,2020/21,79,Hamstring injury,7-Feb-21,4-Apr-21,win,Everton,2,8.5,lose,Crystal Palace,-1,6.9,win,Southampton,1,6.1,lose,Chelsea,-2,lose,Man United,-2,draw,Wolves,0,win,Burnley,1,5.2,win,West Ham,1,6.2,draw,Liverpool,0,5.7
Callum Wilson,Newcastle,Center Forward,29,2020/21,79,Hamstring injury,8-May-21,25-May-21,draw,Liverpool,0,5.7,lose,Arsenal,-2,5.5,win,Leicester,2,8.1,lose,Man City,-1,win,Sheffield,1,win,Fulham,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Jamaal Lascelles,Newcastle,Center Back,28,2021/22,77,Ill,11-Feb-22,16-Feb-22,draw,Watford,0,7,win,Leeds,1,7,win,Everton,2,6.6,win,Aston Villa,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Paul Dummett,Newcastle,Center Back,30,2021/22,75,Calf injury,28-Jul-21,1-Jan-22,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Liverpool,-2,lose,Man City,-4,draw,Man United,0,draw,Watford,0,7,win,Leeds,1,6,N.A.,N.A.,N.A.,N.A.
Joelinton,Newcastle,Central Midfielder,25,2021/22,79,Knock,7-Mar-22,15-Mar-22,draw,West Ham,0,6.4,win,Brentford,2,7.7,win,Brighton,1,6.6,win,Southampton,1,lose,Chelsea,-1,N.A.,N.A.,N.A.,lose,Everton,-1,6.2,lose,Tottenham,-4,5.5,win,Wolves,1,6.6
Jonjo Shelvey,Newcastle,Central Midfielder,30,2021/22,77,Calf injury,15-Aug-21,15-Oct-21,lose,West Ham,-2,7,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,lose,Aston Villa,-2,draw,Southampton,0,lose,Man United,-3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,draw,Brighton,0,6
Jonjo Shelvey,Newcastle,Central Midfielder,30,2021/22,77,Muscle injury,17-Dec-21,26-Dec-21,win,Burnley,1,7,lose,Leicester,-4,6,lose,Liverpool,-2,7,lose,Man City,-4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,draw,Man United,0,7,draw,Watford,0,7,win,Leeds,1,9
Jonjo Shelvey,Newcastle,Central Midfielder,30,2021/22,77,Calf problems,1-May-22,25-May-22,win,Leicester,1,7,win,Crystal Palace,1,6,lose,Liverpool,1,6,lose,Man City,-5,win,Arsenal,2,win,Burnley,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Allan Saint-Maximin,Newcastle,Left winger,25,2021/22,79,Ill & knock,14-Feb-22,12-Mar-22,win,Leeds,1,8,win,Everton,2,9,win,Aston Villa,1,5,draw,West Ham,0,win,Brentford,2,win,Southampton,1,lose,Chelsea,-1,6(S),lose,Everton,-1,7(S),lose,Tottenham,-4,6
Joe Willock,Newcastle,Central Midfielder,22,2021/22,75,Coronavirus,21-Dec-21,31-Dec-21,lose,Leicester,-4,5.9,N.A.,N.A.,N.A.,N.A.,lose,Man City,-4,5.4,draw,Man United,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Leeds,1,7,win,Everton,2,6.5,win,Aston Villa,1,6.3
Joe Willock,Newcastle,Central Midfielder,22,2021/22,75,Knee injury,4-Apr-22,10-Apr-22,win,Southampton,1,6.9,lose,Everton,-1,6.5,lose,Tottenham,-4,5.9,win,Wolves,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Leicester,1,7(S),win,Crystal Palace,1,6(S),win,Norwich City,3,6
Joe Willock,Newcastle,Central Midfielder,22,2021/22,75,Knee injury,1-May-22,25-May-22,win,Crystal Palace,1,6(S),win,Norwich City,3,6,lose,Liverpool,-1,5.1,lose,Man City,-5,win,Arsenal,2,win,Burnley,1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Ryan Fraser,Newcastle,Left winger,28,2021/22,77,Hamstring injury,8-Apr-22,9-May-22,lose,Everton,-1,5.5,lose,Tottenham,-4,5.8,N.A.,N.A.,N.A.,N.A.,win,Leicester,1,win,Crystal Palace,1,win,Norwich City,3,win,Arsenal,2,6(S),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Callum Wilson,Newcastle,Center Forward,30,2021/22,78,Hamstring injury,30-Aug-21,17-Oct-21,lose,West Ham,2,6.9,lose,Aston Villa,-2,5.3,draw,Southampton,0,6.8,lose,Man United,-3,draw,Leeds,0,draw,Watford,0,lose,Tottenham,-1,6.9,draw,Crystal Palace,0,6.3,lose,Chelsea,-3,5.2
Callum Wilson,Newcastle,Center Forward,30,2021/22,78,Calf injury,27-Dec-21,1-May-22,lose,Liverpool,-2,6(S),lose,Man City,-4,5.9,draw,Man United,0,5.4,draw,Watford,0,win,Leeds,1,win,Everton,2,lose,Man City,-5,5(S),win,Arsenal,2,5.4,win,Burnley,1,7.8
Kieran Trippier,Newcastle,Right Back,31,2021/22,81,Metatarsal fracture,13-Feb-22,1-May-22,win,Leeds,1,7,win,Everton,2,7.3,win,Aston Villa,1,7.5,draw,West Ham,0,win,Brentford,2,win,Brighton,1,lose,Man City,-5,5.1(S),win,Burnley,1,6.3,N.A.,N.A.,N.A.,N.A.
Chris Wood,Newcastle,Center Forward,30,2021/22,77,Hip injury,9-May-22,20-May-22,N.A.,N.A.,N.A.,N.A.,lose,Liverpool,-1,6(S),lose,Man City,-5,5.6,win,Arsenal,2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Burnley,1,5(S),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Fabian Schär,Newcastle,Center Back,31,2022/23,80,concussion,27-Feb-23,5-Mar-23,draw,West Ham,0,6.7,draw,Bournemouth,0,6.4,lose,Liverpool,-2,5.5,lose,Man City,-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,win,Wolves,1,6.6,win,Nottm Forest,1,6.4,win,Man United,2,6.9
